Goaltender,IceX,IceY,Save
Brown,27.21891774,50.90934113,Yes
Brown,29.21659655,66.70153105,No
Jones,71.50079791,48.1457079,Yes
Jones,40.53677644,19.71976604,Yes
Jones,69.83606557,22.08859453,Yes
Jones,14.23400551,52.88336487,Yes
Jones,74.49731612,14.58730432,Yes
Jones,39.87088351,49.72492689,Yes
Jones,7.908022632,71.04438328,Yes
Jones,41.20266937,25.64183726,No
Jones,8.906862034,68.67555479,Yes
Jones,75.82910199,35.11715121,Yes
Jones,45.86391992,46.5664889,Yes
Jones,8.573915567,46.17168416,Yes
Jones,28.55070361,83.67813521,Yes
Jones,39.20499057,17.7457423,Yes
Jones,30.54838242,73.80801651,Yes
Jones,80.15740606,62.75348357,Yes
Jones,43.86624111,25.24703251,Yes
Jones,77.82678079,71.04438328,Yes
Jones,2.580879153,48.93531739,Yes
Jones,52.52284927,22.48339928,Yes
Jones,40.86972291,58.0158266,Yes
Jones,23.88945307,53.67297437,Yes
Brown,73.49847672,33.53793222,Yes
Brown,56.85115334,33.53793222,Yes
Brown,56.85115334,33.53793222,Yes
Brown,39.20499057,24.85222777,Yes
Brown,57.18409981,42.61844142,Yes
Brown,39.87088351,22.87820403,Yes
Brown,25.55418541,52.48856012,Yes
Brown,39.87088351,63.54309307,Yes
Brown,50.85811693,65.51711681,Yes
Brown,41.53561584,50.90934113,Yes
Brown,41.53561584,50.90934113,Yes
Brown,37.8732047,25.64183726,Yes
Brown,63.17713623,39.85480819,Yes
Brown,63.17713623,39.85480819,Yes
Brown,29.88248948,39.46000344,Yes
Brown,21.22588133,48.54051264,Yes
Brown,52.52284927,50.51453638,Yes
Brown,52.52284927,50.51453638,Yes
Brown,52.52284927,50.51453638,No
Brown,52.52284927,50.51453638,No
Brown,72.16669085,29.58988474,Yes
Brown,26.55302481,35.90676071,Yes
Brown,13.56811258,62.75348357,Yes
Brown,25.88713187,43.40805092,Yes
Smith,22.22472073,51.69895063,Yes
Smith,6.909183229,57.62102185,Yes
Smith,22.89061367,63.14828832,Yes
Smith,53.85463514,56.83141235,Yes
Smith,20.89293486,67.8859453,Yes
Smith,13.23516611,83.67813521,Yes
Smith,78.82562019,59.59504559,Yes
Smith,79.49151313,40.24961294,Yes
Smith,64.84186856,63.54309307,Yes
Smith,55.85231394,66.3067263,Yes
Smith,62.84418976,39.06519869,Yes
Smith,28.55070361,70.64957853,Yes
Smith,67.17249383,40.64441768,Yes
Smith,29.54954301,41.43402718,Yes
Smith,36.54141883,38.2755892,No
Smith,45.53097345,24.45742302,Yes
Smith,49.19338459,20.90418029,Yes
Smith,80.823299,42.22363668,Yes
Smith,45.19802698,24.45742302,No
Smith,23.22356013,37.09117495,Yes
Smith,23.22356013,37.09117495,Yes
Smith,34.54374003,22.87820403,No
Smith,21.5588278,65.51711681,Yes
Smith,70.16901204,69.07035954,Yes
Smith,61.17945742,62.75348357,Yes
Smith,4.578557957,42.22363668,Yes
Smith,15.23284492,22.48339928,Yes
Smith,20.55998839,67.0963358,Yes
Smith,29.88248948,54.85738861,Yes
Smith,7.575076164,58.0158266,Yes
Smith,3.579718555,69.85996903,Yes
Smith,60.18061802,85.25735421,Yes
Smith,65.5077615,48.54051264,Yes
Smith,64.17597563,41.82883193,Yes
Smith,25.88713187,63.93789782,Yes
Smith,2.580879153,21.69378978,Yes
Smith,8.573915567,22.48339928,Yes
Smith,36.54141883,18.14054705,Yes
Smith,11.90338024,32.74832272,Yes
Smith,37.8732047,23.27300877,Yes
